latitude,longitude,nitrogen,color
26.87505249191919,68.04659369393939,27.0,green
26.87505249191919,68.04660111717172,27.0,green
26.87505249191919,68.04660854040404,27.0,green
26.87505948383838,68.04659369393939,27.0,green
26.87505948383838,68.04660111717172,27.0,green
26.87505948383838,68.04660854040404,27.0,green
26.87505948383838,68.04661596363636,27.0,green
26.87505948383838,68.04662338686869,27.0,green
26.87505948383838,68.04663081010101,27.0,green
26.875066475757574,68.04658627070707,27.0,green
26.875066475757574,68.04659369393939,27.0,green
26.875066475757574,68.04660111717172,27.0,green
26.875066475757574,68.04660854040404,27.0,green
26.875066475757574,68.04661596363636,27.0,green
26.875066475757574,68.04662338686869,27.0,green
26.875066475757574,68.04663081010101,27.0,green
26.875066475757574,68.04663823333333,27.0,green
26.875066475757574,68.04664565656566,27.0,green
26.875073467676767,68.04657884747475,27.0,green
26.875073467676767,68.04658627070707,27.0,green
26.875073467676767,68.04659369393939,27.0,green
26.875073467676767,68.04660111717172,27.0,green
26.875073467676767,68.04660854040404,27.0,green
26.875073467676767,68.04661596363636,27.0,green
26.875073467676767,68.04662338686869,27.0,green
26.875073467676767,68.04663081010101,27.0,green
26.875073467676767,68.04663823333333,27.0,green
26.875073467676767,68.04664565656566,27.0,green
26.875073467676767,68.04665307979798,26.0,green
26.875073467676767,68.0466605030303,26.0,green
26.875073467676767,68.04666792626263,26.0,green
26.87508045959596,68.04657884747475,27.0,green
26.87508045959596,68.04658627070707,27.0,green
26.87508045959596,68.04659369393939,27.0,green
26.87508045959596,68.04660111717172,27.0,green
26.87508045959596,68.04660854040404,27.0,green
26.87508045959596,68.04661596363636,27.0,green
26.87508045959596,68.04662338686869,27.0,green
26.87508045959596,68.04663081010101,27.0,green
26.87508045959596,68.04663823333333,27.0,green
26.87508045959596,68.04664565656566,26.0,green
26.87508045959596,68.04665307979798,26.0,green
26.87508045959596,68.0466605030303,26.0,green
26.87508045959596,68.04666792626263,26.0,green
26.87508045959596,68.04667534949495,26.0,green
26.87508045959596,68.04668277272727,26.0,green
26.87508745151515,68.04657142424242,27.0,green
26.87508745151515,68.04657884747475,27.0,green
26.87508745151515,68.04658627070707,27.0,green
26.87508745151515,68.04659369393939,27.0,green
26.87508745151515,68.04660111717172,27.0,green
26.87508745151515,68.04660854040404,27.0,green
26.87508745151515,68.04661596363636,27.0,green
26.87508745151515,68.04662338686869,27.0,green
26.87508745151515,68.04663081010101,27.0,green
26.87508745151515,68.04663823333333,27.0,green
26.87508745151515,68.04664565656566,26.0,green
