latitude,longitude,moisture,color
26.868407105050505,68.03339767272726,29.5,cyan
26.868407105050505,68.03342254545454,29.5,cyan
26.86844421010101,68.03339767272726,29.5,cyan
26.86844421010101,68.03342254545454,29.5,cyan
26.86844421010101,68.03344741818181,29.5,cyan
26.86844421010101,68.03347229090909,29.5,cyan
26.868481315151513,68.03339767272726,29.5,cyan
26.868481315151513,68.03342254545454,29.5,cyan
26.868481315151513,68.03344741818181,29.5,cyan
26.868481315151513,68.03347229090909,29.5,cyan
26.868481315151513,68.03349716363635,29.5,cyan
26.868481315151513,68.03352203636364,29.5,cyan
26.86851842020202,68.03339767272726,29.5,cyan
26.86851842020202,68.03342254545454,29.5,cyan
26.86851842020202,68.03344741818181,29.5,cyan
26.86851842020202,68.03347229090909,29.5,cyan
26.86851842020202,68.03349716363635,29.5,cyan
26.86851842020202,68.03352203636364,29.5,cyan
26.86851842020202,68.0335469090909,29.5,cyan
26.86851842020202,68.03357178181818,29.5,cyan
26.868555525252525,68.03339767272726,29.5,cyan
26.868555525252525,68.03342254545454,29.5,cyan
26.868555525252525,68.03344741818181,29.5,cyan
26.868555525252525,68.03347229090909,29.5,cyan
26.868555525252525,68.03349716363635,29.5,cyan
26.868555525252525,68.03352203636364,29.5,cyan
26.868555525252525,68.0335469090909,29.5,cyan
26.868555525252525,68.03357178181818,29.5,cyan
26.868555525252525,68.03359665454545,29.5,cyan
26.868555525252525,68.03362152727273,29.5,cyan
26.86859263030303,68.03339767272726,27.0,cyan
26.86859263030303,68.03342254545454,27.0,cyan
26.86859263030303,68.03344741818181,27.0,cyan
26.86859263030303,68.03347229090909,27.0,cyan
26.86859263030303,68.03349716363635,27.0,cyan
26.86859263030303,68.03352203636364,27.0,cyan
26.86859263030303,68.0335469090909,27.0,cyan
26.86859263030303,68.03357178181818,27.0,cyan
26.86859263030303,68.03359665454545,27.0,cyan
26.86859263030303,68.03362152727273,27.0,cyan
26.86859263030303,68.0336464,27.0,cyan
26.868629735353533,68.03339767272726,27.0,cyan
26.868629735353533,68.03342254545454,27.0,cyan
26.868629735353533,68.03344741818181,27.0,cyan
26.868629735353533,68.03347229090909,27.0,cyan
26.868629735353533,68.03349716363635,27.0,cyan
26.868629735353533,68.03352203636364,27.0,cyan
26.868629735353533,68.0335469090909,27.0,cyan
26.868629735353533,68.03357178181818,27.0,cyan
26.868629735353533,68.03359665454545,27.0,cyan
26.868629735353533,68.03362152727273,27.0,cyan
26.868629735353533,68.0336464,27.0,cyan
26.868629735353533,68.03367127272726,27.0,cyan
26.868629735353533,68.03369614545454,27.0,cyan
26.86866684040404,68.03339767272726,27.0,cyan
26.86866684040404,68.03342254545454,27.0,cyan
26.86866684040404,68.03344741818181,27.0,cyan
26.86866684040404,68.03347229090909,27.0,cyan
26.86866684040404,68.03349716363635,27.0,cyan
26.86866684040404,68.03352203636364,27.0,cyan
26.86866684040404,68.0335469090909,27.0,cyan
26.86866684040404,68.03357178181818,27.0,cyan
26.86866684040404,68.03359665454545,27.0,cyan
26.86866684040404,68.03362152727273,27.0,cyan
26.86866684040404,68.0336464,27.0,cyan
26.86866684040404,68.03367127272726,27.0,cyan
26.86866684040404,68.03369614545454,27.0,cyan
26.86866684040404,68.03372101818181,27.0,cyan
26.86866684040404,68.03374589090909,27.0,cyan
26.868703945454545,68.03339767272726,27.0,cyan
26.868703945454545,68.03342254545454,27.0,cyan
26.868703945454545,68.03344741818181,27.0,cyan
26.868703945454545,68.03347229090909,27.0,cyan
26.868703945454545,68.03349716363635,27.0,cyan
26.868703945454545,68.03352203636364,27.0,cyan
26.868703945454545,68.0335469090909,27.0,cyan
26.868703945454545,68.03357178181818,27.0,cyan
26.868703945454545,68.03359665454545,27.0,cyan
26.868703945454545,68.03362152727273,27.0,cyan
26.868703945454545,68.0336464,27.0,cyan
26.868703945454545,68.03367127272726,27.0,cyan
26.868703945454545,68.03369614545454,27.0,cyan
26.868703945454545,68.03372101818181,27.0,cyan
26.868703945454545,68.03374589090909,27.0,cyan
26.868703945454545,68.03377076363635,27.0,cyan
26.868703945454545,68.03379563636364,27.0,cyan
26.86874105050505,68.03339767272726,27.0,cyan
26.86874105050505,68.03342254545454,27.0,cyan
26.86874105050505,68.03344741818181,27.0,cyan
26.86874105050505,68.03347229090909,27.0,cyan
26.86874105050505,68.03349716363635,27.0,cyan
26.86874105050505,68.03352203636364,27.0,cyan
26.86874105050505,68.0335469090909,27.0,cyan
26.86874105050505,68.03357178181818,27.0,cyan
26.86874105050505,68.03359665454545,27.0,cyan
26.86874105050505,68.03362152727273,27.0,cyan
26.86874105050505,68.0336464,27.0,cyan
26.86874105050505,68.03367127272726,27.0,cyan
26.86874105050505,68.03369614545454,27.0,cyan
26.86874105050505,68.03372101818181,27.0,cyan
26.86874105050505,68.03374589090909,27.0,cyan
26.86874105050505,68.03377076363635,27.0,cyan
26.86874105050505,68.03379563636364,27.0,cyan
26.86874105050505,68.0338205090909,27.0,cyan
26.86874105050505,68.03384538181818,27.0,cyan
26.868778155555553,68.03339767272726,27.0,cyan
26.868778155555553,68.03342254545454,27.0,cyan
26.868778155555553,68.03344741818181,27.0,cyan
26.868778155555553,68.03347229090909,27.0,cyan
26.868778155555553,68.03349716363635,27.0,cyan
26.868778155555553,68.03352203636364,27.0,cyan
26.868778155555553,68.0335469090909,27.0,cyan
26.868778155555553,68.03357178181818,27.0,cyan
26.868778155555553,68.03359665454545,27.0,cyan
26.868778155555553,68.03362152727273,27.0,cyan
26.868778155555553,68.0336464,27.0,cyan
26.868778155555553,68.03367127272726,27.0,cyan
26.868778155555553,68.03369614545454,27.0,cyan
26.868778155555553,68.03372101818181,27.0,cyan
26.868778155555553,68.03374589090909,27.0,cyan
26.868778155555553,68.03377076363635,27.0,cyan
26.868778155555553,68.03379563636364,27.0,cyan
26.868778155555553,68.0338205090909,27.0,cyan
26.868778155555553,68.03384538181818,27.0,cyan
26.868778155555553,68.03387025454545,27.0,cyan
26.868778155555553,68.03389512727273,27.0,cyan
26.86881526060606,68.03339767272726,27.0,cyan
26.86881526060606,68.03342254545454,27.0,cyan
26.86881526060606,68.03344741818181,27.0,cyan
26.86881526060606,68.03347229090909,27.0,cyan
26.86881526060606,68.03349716363635,27.0,cyan
26.86881526060606,68.03352203636364,27.0,cyan
26.86881526060606,68.0335469090909,27.0,cyan
26.86881526060606,68.03357178181818,27.0,cyan
26.86881526060606,68.03359665454545,27.0,cyan
26.86881526060606,68.03362152727273,27.0,cyan
26.86881526060606,68.0336464,27.0,cyan
