latitude,longitude,nitrogen,color
31.140119746464645,73.2063031,10.0,lightyellow
31.140119746464645,73.20630691111111,10.0,lightyellow
31.140119746464645,73.20631072222223,10.0,lightyellow
31.140119746464645,73.20631453333334,10.0,lightyellow
31.140119746464645,73.20631834444445,10.0,lightyellow
31.140119746464645,73.20632215555555,10.0,lightyellow
31.140119746464645,73.20632596666667,26.0,green
31.140119746464645,73.20632977777778,26.0,green
31.140119746464645,73.2063335888889,26.0,green
31.140119746464645,73.20633740000001,26.0,green
31.140119746464645,73.20634121111111,26.0,green
31.140119746464645,73.20634502222222,26.0,green
31.140119746464645,73.20634883333334,26.0,green
31.140119746464645,73.20635264444445,26.0,green
31.140119746464645,73.20635645555556,26.0,green
31.140119746464645,73.20636026666668,26.0,green
31.140119746464645,73.20636407777778,26.0,green
31.140119746464645,73.20636788888889,26.0,green
31.140157792929294,73.20626117777778,10.0,lightyellow
31.140157792929294,73.20626498888889,10.0,lightyellow
31.140157792929294,73.2062688,72.0,darkgreen
31.140157792929294,73.20627261111112,72.0,darkgreen
31.140157792929294,73.20627642222223,72.0,darkgreen
31.140157792929294,73.20628023333333,72.0,darkgreen
31.140157792929294,73.20628404444444,72.0,darkgreen
31.140157792929294,73.20628785555556,72.0,darkgreen
31.140157792929294,73.20629166666667,72.0,darkgreen
31.140157792929294,73.20629547777779,72.0,darkgreen
31.140157792929294,73.20629928888889,72.0,darkgreen
31.140157792929294,73.2063031,72.0,darkgreen
31.140157792929294,73.20630691111111,72.0,darkgreen
31.140157792929294,73.20631072222223,72.0,darkgreen
31.140157792929294,73.20631453333334,72.0,darkgreen
31.140157792929294,73.20631834444445,72.0,darkgreen
31.140157792929294,73.20632215555555,72.0,darkgreen
31.140157792929294,73.20632596666667,72.0,darkgreen
31.140157792929294,73.20632977777778,72.0,darkgreen
31.140157792929294,73.2063335888889,72.0,darkgreen
31.140157792929294,73.20633740000001,15.0,lightgreen
31.140157792929294,73.20634121111111,15.0,lightgreen
31.140157792929294,73.20634502222222,15.0,lightgreen
31.140157792929294,73.20634883333334,15.0,lightgreen
31.140157792929294,73.20635264444445,15.0,lightgreen
31.140157792929294,73.20635645555556,15.0,lightgreen
31.140157792929294,73.20636026666668,15.0,lightgreen
31.140157792929294,73.20636407777778,15.0,lightgreen
31.140157792929294,73.20636788888889,15.0,lightgreen
31.14019583939394,73.20625736666666,25.0,green
31.14019583939394,73.20626117777778,25.0,green
31.14019583939394,73.20626498888889,25.0,green
31.14019583939394,73.2062688,25.0,green
31.14019583939394,73.20627261111112,25.0,green
31.14019583939394,73.20627642222223,25.0,green
31.14019583939394,73.20628023333333,25.0,green
31.14019583939394,73.20628404444444,25.0,green
31.14019583939394,73.20628785555556,25.0,green
31.14019583939394,73.20629166666667,25.0,green
31.14019583939394,73.20629547777779,25.0,green
31.14019583939394,73.20629928888889,25.0,green
31.14019583939394,73.2063031,15.0,lightgreen
31.14019583939394,73.20630691111111,15.0,lightgreen
31.14019583939394,73.20631072222223,15.0,lightgreen
31.14019583939394,73.20631453333334,15.0,lightgreen
31.14019583939394,73.20631834444445,15.0,lightgreen
31.14019583939394,73.20632215555555,15.0,lightgreen
31.14019583939394,73.20632596666667,15.0,lightgreen
31.14019583939394,73.20632977777778,15.0,lightgreen
31.14019583939394,73.2063335888889,15.0,lightgreen
31.14019583939394,73.20633740000001,15.0,lightgreen
31.14019583939394,73.20634121111111,15.0,lightgreen
31.14019583939394,73.20634502222222,15.0,lightgreen
31.14019583939394,73.20634883333334,15.0,lightgreen
