latitude,longitude,potassium,color
31.140119746464645,73.2063031,36.0,white
31.140119746464645,73.20630691111111,36.0,white
31.140119746464645,73.20631072222223,36.0,white
31.140119746464645,73.20631453333334,36.0,white
31.140119746464645,73.20631834444445,36.0,white
31.140119746464645,73.20632215555555,36.0,white
31.140119746464645,73.20632596666667,90.0,orange
31.140119746464645,73.20632977777778,90.0,orange
31.140119746464645,73.2063335888889,90.0,orange
31.140119746464645,73.20633740000001,90.0,orange
31.140119746464645,73.20634121111111,90.0,orange
31.140119746464645,73.20634502222222,90.0,orange
31.140119746464645,73.20634883333334,90.0,orange
31.140119746464645,73.20635264444445,90.0,orange
31.140119746464645,73.20635645555556,90.0,orange
31.140119746464645,73.20636026666668,90.0,orange
31.140119746464645,73.20636407777778,90.0,orange
31.140119746464645,73.20636788888889,90.0,orange
31.140157792929294,73.20626117777778,36.0,white
31.140157792929294,73.20626498888889,36.0,white
31.140157792929294,73.2062688,247.0,darkred
31.140157792929294,73.20627261111112,247.0,darkred
31.140157792929294,73.20627642222223,247.0,darkred
31.140157792929294,73.20628023333333,247.0,darkred
31.140157792929294,73.20628404444444,247.0,darkred
31.140157792929294,73.20628785555556,247.0,darkred
31.140157792929294,73.20629166666667,247.0,darkred
31.140157792929294,73.20629547777779,247.0,darkred
31.140157792929294,73.20629928888889,247.0,darkred
31.140157792929294,73.2063031,247.0,darkred
31.140157792929294,73.20630691111111,247.0,darkred
31.140157792929294,73.20631072222223,247.0,darkred
31.140157792929294,73.20631453333334,247.0,darkred
31.140157792929294,73.20631834444445,247.0,darkred
31.140157792929294,73.20632215555555,247.0,darkred
31.140157792929294,73.20632596666667,247.0,darkred
31.140157792929294,73.20632977777778,247.0,darkred
31.140157792929294,73.2063335888889,247.0,darkred
31.140157792929294,73.20633740000001,53.0,peachpuff
31.140157792929294,73.20634121111111,53.0,peachpuff
31.140157792929294,73.20634502222222,53.0,peachpuff
31.140157792929294,73.20634883333334,53.0,peachpuff
31.140157792929294,73.20635264444445,53.0,peachpuff
31.140157792929294,73.20635645555556,53.0,peachpuff
31.140157792929294,73.20636026666668,53.0,peachpuff
31.140157792929294,73.20636407777778,53.0,peachpuff
31.140157792929294,73.20636788888889,53.0,peachpuff
31.14019583939394,73.20625736666666,85.0,peachpuff
31.14019583939394,73.20626117777778,85.0,peachpuff
31.14019583939394,73.20626498888889,85.0,peachpuff
31.14019583939394,73.2062688,85.0,peachpuff
31.14019583939394,73.20627261111112,85.0,peachpuff
31.14019583939394,73.20627642222223,85.0,peachpuff
31.14019583939394,73.20628023333333,85.0,peachpuff
31.14019583939394,73.20628404444444,85.0,peachpuff
31.14019583939394,73.20628785555556,85.0,peachpuff
31.14019583939394,73.20629166666667,85.0,peachpuff
31.14019583939394,73.20629547777779,85.0,peachpuff
31.14019583939394,73.20629928888889,85.0,peachpuff
31.14019583939394,73.2063031,53.0,peachpuff
31.14019583939394,73.20630691111111,53.0,peachpuff
31.14019583939394,73.20631072222223,53.0,peachpuff
31.14019583939394,73.20631453333334,53.0,peachpuff
31.14019583939394,73.20631834444445,53.0,peachpuff
