latitude,longitude,phosphor,color
31.140119746464645,73.2063031,14.0,lightblue
31.140119746464645,73.20630691111111,14.0,lightblue
31.140119746464645,73.20631072222223,14.0,lightblue
31.140119746464645,73.20631453333334,14.0,lightblue
31.140119746464645,73.20631834444445,14.0,lightblue
31.140119746464645,73.20632215555555,14.0,lightblue
31.140119746464645,73.20632596666667,36.0,blue
31.140119746464645,73.20632977777778,36.0,blue
31.140119746464645,73.2063335888889,36.0,blue
31.140119746464645,73.20633740000001,36.0,blue
31.140119746464645,73.20634121111111,36.0,blue
31.140119746464645,73.20634502222222,36.0,blue
31.140119746464645,73.20634883333334,36.0,blue
31.140119746464645,73.20635264444445,36.0,blue
31.140119746464645,73.20635645555556,36.0,blue
31.140119746464645,73.20636026666668,36.0,blue
31.140119746464645,73.20636407777778,36.0,blue
31.140119746464645,73.20636788888889,36.0,blue
31.140157792929294,73.20626117777778,14.0,lightblue
31.140157792929294,73.20626498888889,14.0,lightblue
31.140157792929294,73.2062688,99.0,darkblue
31.140157792929294,73.20627261111112,99.0,darkblue
31.140157792929294,73.20627642222223,99.0,darkblue
31.140157792929294,73.20628023333333,99.0,darkblue
31.140157792929294,73.20628404444444,99.0,darkblue
31.140157792929294,73.20628785555556,99.0,darkblue
31.140157792929294,73.20629166666667,99.0,darkblue
31.140157792929294,73.20629547777779,99.0,darkblue
31.140157792929294,73.20629928888889,99.0,darkblue
31.140157792929294,73.2063031,99.0,darkblue
31.140157792929294,73.20630691111111,99.0,darkblue
31.140157792929294,73.20631072222223,99.0,darkblue
31.140157792929294,73.20631453333334,99.0,darkblue
31.140157792929294,73.20631834444445,99.0,darkblue
31.140157792929294,73.20632215555555,99.0,darkblue
31.140157792929294,73.20632596666667,99.0,darkblue
31.140157792929294,73.20632977777778,99.0,darkblue
31.140157792929294,73.2063335888889,99.0,darkblue
31.140157792929294,73.20633740000001,21.0,blue
31.140157792929294,73.20634121111111,21.0,blue
31.140157792929294,73.20634502222222,21.0,blue
31.140157792929294,73.20634883333334,21.0,blue
31.140157792929294,73.20635264444445,21.0,blue
31.140157792929294,73.20635645555556,21.0,blue
31.140157792929294,73.20636026666668,21.0,blue
31.140157792929294,73.20636407777778,21.0,blue
31.140157792929294,73.20636788888889,21.0,blue
31.14019583939394,73.20625736666666,34.0,blue
31.14019583939394,73.20626117777778,34.0,blue
31.14019583939394,73.20626498888889,34.0,blue
